timestamp,car_position_x,car_position_y,angle,speed,sensor_distances,traffic_light_state,action_taken,reward,ai_mode
green,0.08333333333333333,0.5,0.0,0.2,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""accelerate"": true}",61.6,hybrid
green,0.0835,0.5,0.0,0.15000000000000002,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9666666666666667, 1.0]",hybrid,"{""change_lane_left"": true}",41.2,hybrid
green,0.083625,0.4975,0.0,0.35000000000000003,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9733333333333334, 1.0]",hybrid,"{""accelerate"": true}",62.8,hybrid
green,0.08391666666666667,0.495,0.0,0.55,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""accelerate"": true}",64.4,hybrid
green,0.084375,0.4925,-22.38712462535217,0.75,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""accelerate"": true}",51.0,hybrid
green,0.08495289477719914,0.4896429413079151,-37.60758986443669,0.95,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""accelerate"": true}",52.6,hybrid
green,0.0855800600863972,0.4864182693003064,-48.446177505281796,1.15,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""accelerate"": true}",-52.8,hybrid
green,0.086215744924751,0.4828425407011021,-56.432900755955416,1.3499999999999999,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""accelerate"": true}",-51.2,hybrid
green,0.08683777224389154,0.47893645009874164,-62.472709325240615,1.5499999999999998,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""accelerate"": true}",-69.6,hybrid
green,0.08743474318975085,0.4747182929312946,-67.13534359748664,1.7499999999999998,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""accelerate"": true}",-68.0,hybrid
green,0.08800138681936574,0.47020267516165476,-70.79675806154057,1.6999999999999997,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-72.4,hybrid
green,0.08832496192550336,0.46563384745277037,-78.93853398306707,1.6499999999999997,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-72.80000000000001,hybrid
green,0.0884462704679347,0.4610793899125788,-84.93853398306707,1.5999999999999996,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-198.8,hybrid
green,0.088424430767112,0.45657965822762636,-90.93853398306707,1.5499999999999996,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-198.4,hybrid
green,0.0882683916400334,0.45215634785762715,-96.93853398306707,1.4999999999999996,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-198.0,hybrid
green,0.08798850959488276,0.44782895255507077,-100.71933968935498,1.4499999999999995,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-197.6,hybrid
green,0.08764089166011821,0.44359307518736374,-103.80884066746248,1.3999999999999995,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-197.2,hybrid
green,0.08724552805168367,0.43944662532826306,-106.30804430389063,1.3499999999999994,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-196.79999999999998,hybrid
green,0.0868184937399743,0.4353854238462623,-108.30456598512019,1.2999999999999994,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-216.4,hybrid
green,0.0863726078359081,0.4314044468169843,-109.87429070098376,1.2499999999999993,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-216.0,hybrid
green,0.08591802647954024,0.4274985816817398,-111.08281253119499,1.1999999999999993,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-215.6,hybrid
green,0.08546274863698536,0.42366305755478556,-111.98669111090899,1.1499999999999992,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-215.2,hybrid
green,0.08501303495038631,0.41989366366390996,-112.63455660394237,1.0999999999999992,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-214.79999999999998,hybrid
green,0.08457374875353342,0.4161868342709042,-113.06808764671877,1.0499999999999992,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-214.4,hybrid
green,0.08414863119775759,0.4125396528800661,-113.32288081310384,0.9999999999999991,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-219.0,hybrid
green,0.08374052230635948,0.40894981066730596,-113.42922557874456,0.9499999999999991,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-218.6,hybrid
green,0.083351538409125,0.4054155417528994,-113.41279545119663,0.899999999999999,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-218.2,hybrid
green,0.0829832146816961,0.4019355495735536,-113.29526366422097,0.849999999999999,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-217.79999999999998,hybrid
green,0.0826366198428157,0.39850893299171497,-113.09485035657387,0.7999999999999989,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-217.39999999999998,hybrid
